Url,Title,Country,City,IP,Port,Server,Protocol
58.42.242.98:8091,Yonyou UAP,China,Guiyang,58.42.242.98,8091,Apache-Coyote/1.1,
59.110.166.113:8888,Yonyou NC,China,,59.110.166.113,8888,Apache-Coyote/1.1,
47.105.131.113:8888,YONYOU NC,China,,47.105.131.113,8888,Apache-Coyote/1.1,
47.111.81.115:8082,YONYOU NC,China,,47.111.81.115,8082,Apache-Coyote/1.1,
121.37.202.40:8090,YONYOU NC,China,,121.37.202.40,8090,Apache-Coyote/1.1,
124.243.245.42:8081,YONYOU NC,China,,124.243.245.42,8081,Apache-Coyote/1.1,
36.134.73.145:9090,Yonyou NC,China,,36.134.73.145,9090,IBM_HTTP_Server,
27.45.146.108:9000,YONYOU NC,China,,27.45.146.108,9000,Apache-Coyote/1.1,
222.179.218.158:1234,YONYOU NC,China,Chongqing,222.179.218.158,1234,Apache-Coyote/1.1,
58.221.239.185:9001,Yonyou UAP,China,,58.221.239.185,9001,Apache-Coyote/1.1,
218.24.171.60:8090,Yonyou UAP,China,Dalian,218.24.171.60,8090,Apache-Coyote/1.1,
125.31.34.186:9080,YONYOU NC,Macao,Macao,125.31.34.186,9080,Apache-Coyote/1.1,
39.106.101.83:8080,YONYOU NC,China,,39.106.101.83,8080,Apache-Coyote/1.1,
129.204.41.60:8888,YONYOU NC,China,,129.204.41.60,8888,Apache-Coyote/1.1,
58.220.211.74:8088,YONYOU NC,China,,58.220.211.74,8088,Apache-Coyote/1.1,
120.27.148.233:8080,YONYOU NC,China,,120.27.148.233,8080,Apache-Coyote/1.1,
123.207.237.230:8082,Yonyou New Century,China,,123.207.237.230,8082,Apache-Coyote/1.1,
125.120.153.96:8090,YONYOU NC,China,Hangzhou,125.120.153.96,8090,Apache-Coyote/1.1,
112.91.83.60:5556,YONYOU NC,China,Zhuhai,112.91.83.60,5556,Apache-Coyote/1.1,
59.50.110.29:8090,YONYOU NC,China,,59.50.110.29,8090,IBM_HTTP_Server,
117.22.73.161:9080,Yonyou NC,China,Xi'an,117.22.73.161,9080,Apache-Coyote/1.1,
124.71.105.255:9080,YONYOU NC,China,,124.71.105.255,9080,WebSphere Application Server/8.5,
123.206.51.65:7777,Yonyou UAP,China,,123.206.51.65,7777,Apache-Coyote/1.1,
27.109.250.103:8889,YONYOU NC,Macao,Macao,27.109.250.103,8889,Apache-Coyote/1.1,
218.76.145.186:8010,YONYOU NC,China,,218.76.145.186,8010,Apache-Coyote/1.1,
60.190.214.67:5555,YONYOU NC,China,,60.190.214.67,5555,Apache-Coyote/1.1,
140.237.242.209:8087,YONYOU NC,China,Gulou,140.237.242.209,8087,Apache-Coyote/1.1,
101.230.205.147:9009,YONYOU NC,China,Shanghai,101.230.205.147,9009,,
144.123.42.59:7077,YONYOU NC,China,,144.123.42.59,7077,Apache-Coyote/1.1,
123.56.184.122:8088,GYWL,China,,123.56.184.122,8088,Apache-Coyote/1.1,
114.251.7.248:9090,Yonyou NC,China,Beijing,114.251.7.248,9090,Apache-Coyote/1.1,
58.87.109.107,Yonyou UAP,China,,58.87.109.107,80,Apache-Coyote/1.1,
113.0.40.102:9083,Yonyou New Century,China,Harbin,113.0.40.102,9083,IBM_HTTP_Server,
114.113.237.70:9090,YONYOU NC,China,,114.113.237.70,9090,Apache-Coyote/1.1,
39.97.24.237:9191,YONYOU NC,China,,39.97.24.237,9191,Apache-Coyote/1.1,
125.70.242.110:9080,Yonyou UAP,China,Chengdu,125.70.242.110,9080,Apache-Coyote/1.1,
122.224.122.133:9080,Yonyou UAP,China,Hangzhou,122.224.122.133,9080,WebSphere Application Server/8.5,
https://124.71.105.255:9443,YONYOU NC,China,,124.71.105.255,9443,WebSphere Application Server/8.5,
47.110.135.54:8090,Yonyou UAP,China,,47.110.135.54,8090,Apache-Coyote/1.1,
39.106.34.190:8090,Yonyou UAP,China,,39.106.34.190,8090,Apache-Coyote/1.1,
183.63.254.51:8686,Yonyou New Century,China,Guangzhou,183.63.254.51,8686,IBM_HTTP_Server,
112.31.250.17:8089,Yonyou UAP,China,Hefei,112.31.250.17,8089,Apache-Coyote/1.1,
171.106.48.116:8081,Yonyou UAP,China,Guilin,171.106.48.116,8081,Apache-Coyote/1.1,
119.3.203.233:8060,YONYOU NC,China,,119.3.203.233,8060,Apache-Coyote/1.1,
39.102.37.250,YONYOU NC,China,,39.102.37.250,80,Apache/2.4.41 (Unix) OpenSSL/1.0.1e-fips mod_jk/1.2.48,
122.224.240.66:6666,Yonyou NC,China,Hangzhou,122.224.240.66,6666,Apache-Coyote/1.1,
119.254.152.132:8080,YONYOU NC,China,,119.254.152.132,8080,Apache-Coyote/1.1,
119.254.152.130:8080,YONYOU NC,China,,119.254.152.130,8080,Apache,
120.211.30.228:9001,Yonyou NC,China,Beijing,120.211.30.228,9001,WebSphere Application Server/7.0,
221.2.235.51:9092,Yonyou UAP,China,,221.2.235.51,9092,Apache-Coyote/1.1,
123.127.25.25:8090,Yonyou UAP,China,Beijing,123.127.25.25,8090,Apache-Coyote/1.1,
61.158.179.102:88,YONYOU NC,China,Beijing,61.158.179.102,88,Apache-Coyote/1.1,
114.255.216.83,Yonyou NC,China,Beijing,114.255.216.83,80,Apache-Coyote/1.1,
113.124.7.202:8089,Yonyou NC,China,,113.124.7.202,8089,Apache-Coyote/1.1,
114.113.120.26:18081,YONYOU NC,China,,114.113.120.26,18081,Apache-Coyote/1.1,
183.48.126.130:8081,YONYOU NC,China,Guangzhou,183.48.126.130,8081,Apache-Coyote/1.1,
122.224.78.218:8888,Yonyou New Century,China,Hangzhou,122.224.78.218,8888,Apache-Coyote/1.1,
124.127.35.145:9080,Yonyou UAP,China,Beijing,124.127.35.145,9080,Apache-Coyote/1.1,
182.92.171.27:8088,YONYOU NC,China,,182.92.171.27,8088,Apache-Coyote/1.1,
60.208.28.122:8888,Yonyou UAP,China,Jinan,60.208.28.122,8888,Apache-Coyote/1.1,
182.150.63.101:8088,YONYOU NC,China,Chengdu,182.150.63.101,8088,Apache-Coyote/1.1,
182.138.104.25:8888,YONYOU NC,China,Chengdu,182.138.104.25,8888,Apache-Coyote/1.1,
61.178.27.5:9443,YONYOU NC,China,Lanzhou,61.178.27.5,9443,WebSphere Application Server/8.5,
49.5.12.26:9090,Yonyou UAP,China,Haidian,49.5.12.26,9090,Apache-Coyote/1.1,
https://116.63.90.90:9443,YONYOU NC,China,,116.63.90.90,9443,WebSphere Application Server/8.5,
219.144.162.173:8099,YONYOU NC,China,Xi'an,219.144.162.173,8099,Apache-Coyote/1.1,
